casualty_group,killed,injured,total_casualties,proportion_killed
1008,0,0,0,NA
1009,0,0,0,NA
1010,0,0,0,NA
1011,0,0,0,NA
1012,0,0,0,NA
1013,0,0,0,NA
1014,0,0,0,NA
1015,0,0,0,NA
1016,0,0,0,NA
1017,0,0,0,NA
1018,0,0,0,NA
1019,8,78,86,0.09302325581395349
1020,15,24,39,0.38461538461538464
1021,0,6,6,0
1022,1,5,6,0.16666666666666666
1023,NA,NA,NA,NA
1024,1,10,11,0.09090909090909091
1025,0,0,0,NA
1026,0,0,0,NA
1027,2,12,14,0.14285714285714285
1028,NA,NA,NA,NA
1029,0,0,0,NA
1030,0,0,0,NA
1031,0,0,0,NA
1032,0,0,0,NA
1033,0,0,0,NA
1034,1,14,15,0.06666666666666667
1035,0,0,0,NA
1036,0,0,0,NA
1037,0,0,0,NA
1038,0,0,0,NA
1039,0,0,0,NA
1040,0,0,0,NA
1041,0,0,0,NA
1042,3,13,16,0.1875
1043,0,0,0,NA
1044,0,0,0,NA
1045,1,0,1,1
1046,3,7,10,0.3
1047,0,0,0,NA
1048,1,4,5,0.2
1049,0,0,0,NA
1050,0,0,0,NA
1051,0,5,5,0
1052,0,0,0,NA
1053,0,0,0,NA
1054,0,0,0,NA
1055,2,10,12,0.16666666666666666
1056,0,0,0,NA
1057,0,0,0,NA
1058,6,2,8,0.75
1059,0,0,0,NA
1060,3,3,6,0.5
1061,4,29,33,0.12121212121212122
1062,0,0,0,NA
1063,0,0,0,NA
1064,0,0,0,NA
1065,1,0,1,1
1066,1,14,15,0.06666666666666667
1067,0,3,3,0
1068,0,0,0,NA
1069,10,40,50,0.2
1070,0,0,0,NA
1071,0,0,0,NA
1072,0,0,0,NA
1073,0,0,0,NA
1074,0,0,0,NA
1075,0,2,2,0
1076,0,0,0,NA
1077,2,50,52,0.038461538461538464
1078,0,0,0,NA
1079,0,0,0,NA
1080,0,2,2,0
1081,0,0,0,NA
1082,0,0,0,NA
1083,0,0,0,NA
1084,0,0,0,NA
1085,NA,NA,3,NA
1086,0,0,0,NA
1087,0,0,0,NA
1088,0,0,0,NA
1089,1,9,10,0.1
1090,0,0,0,NA
1091,0,0,0,NA
1092,0,0,0,NA
1093,5,15,20,0.25
1094,0,4,4,0
1095,0,0,0,NA
1096,0,4,4,0
1097,0,0,0,NA
1098,0,0,0,NA
1099,NA,NA,1,NA
1100,0,0,0,NA
1101,0,0,0,NA
1102,0,0,0,NA
1103,0,0,0,NA
1104,0,0,0,NA
1105,0,0,0,NA
1106,0,0,0,NA
1107,0,0,0,NA
1108,0,0,0,NA
1109,0,0,0,NA
1110,2,3,5,0.4
1111,0,0,0,NA
1112,0,0,0,NA
1113,0,0,0,NA
1114,0,0,0,NA
1115,0,0,0,NA
1116,7,144,151,0.046357615894039736
1117,0,0,0,NA
1118,0,0,0,NA
1119,0,0,0,NA
1120,4,11,15,0.26666666666666666
1121,0,0,0,NA
1122,0,0,0,NA
1123,0,1,1,0
1124,0,0,0,NA
1125,0,1,1,0
1126,0,0,0,NA
1127,7,6,13,0.5384615384615384
1128,0,0,0,NA
1129,0,0,0,NA
1130,0,0,0,NA
1131,0,0,0,NA
1132,0,0,0,NA
1133,0,0,0,NA
1134,0,0,0,NA
1135,0,0,0,NA
1136,0,0,0,NA
1137,1,7,8,0.125
1138,0,0,0,NA
1139,0,0,0,NA
1140,0,0,0,NA
1141,0,0,0,NA
1142,0,0,0,NA
1143,0,0,0,NA
1144,0,0,0,NA
1145,0,0,0,NA
1146,8,13,21,0.38095238095238093
1147,NA,NA,7,NA
1148,0,15,15,0
1149,4,8,12,0.3333333333333333
1150,0,0,0,NA
1151,NA,NA,22,NA
1152,0,0,0,NA
1153,1,5,6,0.16666666666666666
1154,NA,NA,NA,NA
1155,0,0,0,NA
1156,0,0,0,NA
1157,12,0,12,1
1158,0,0,0,NA
1159,0,0,0,NA
1160,0,0,0,NA
1161,NA,NA,3,NA
1162,NA,NA,1,NA
1163,0,9,9,0
1164,0,8,8,0
1165,0,0,0,NA
1166,0,0,0,NA
1167,0,0,0,NA
1168,0,0,0,NA
1169,0,0,0,NA
1170,0,0,0,NA
1171,0,0,0,NA
1172,0,0,0,NA
1173,0,0,0,NA
1174,0,0,0,NA
1175,0,0,0,NA
1176,0,0,0,NA
1177,0,0,0,NA
1178,0,0,0,NA
1179,0,0,0,NA
1180,0,0,0,NA
1181,0,0,0,NA
1182,0,0,0,NA
1183,0,55,55,0
1184,42,143,185,0.22702702702702704
1185,0,0,0,NA
1186,0,0,0,NA
1187,0,0,0,NA
1188,NA,NA,10,NA
1189,0,0,0,NA
1190,0,0,0,NA
1191,1,14,15,0.06666666666666667
1192,0,0,0,NA
1193,0,0,0,NA
1194,0,0,0,NA
1195,0,0,0,NA
1196,0,0,0,NA
1197,0,0,0,NA
1198,0,0,0,NA
1199,0,0,0,NA
1200,0,0,0,NA
1201,0,0,0,NA
1202,0,0,0,NA
1203,11,35,46,0.2391304347826087
1204,1,2,3,0.3333333333333333
1205,0,4,4,0
1206,0,0,0,NA
1207,0,0,0,NA
